Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-2385.79	-2569.944	184.1536	1.371297	1.488812	0.390836	0.471855	0.528145	5.949976
6	-2386.44	-2573.432	186.9922	1.511468	1.488812	0.407327	0.678566	0.321434	4.279941
12	-2386.626	-2573.748	187.1214	1.485921	1.57395	0.407327	0.523049	0.476951	4.186253
18	-2394.493	-2580.808	186.3157	1.523956	1.57395	0.3025911	0.381793	0.618207	4.742185
24	-2389.648	-2575.196	185.5478	1.381625	1.698072	0.2778929	0.469628	0.530372	5.233326
30	-2386.009	-2568.638	182.6288	1.090929	1.758094	0.316846	0.470848	0.529152	6.911893
36	-2404.393	-2589.017	184.624	1.223204	1.758094	0.4120396	0.650106	0.349894	5.649391
42	-2400.273	-2584.999	184.7262	1.359765	1.598673	0.4120396	0.567352	0.432648	5.577213
48	-2400.941	-2585.678	184.7371	1.330487	1.659278	0.3997872	0.580162	0.419838	5.577213
54	-2385.978	-2570.993	185.0152	1.212585	1.659278	0.4181386	0.496351	0.503649	5.469987
60	-2384.183	-2570.811	186.6274	1.417974	1.836347	0.4181386	0.59737	0.40263	4.393907
66	-2399.568	-2584.124	184.5558	1.298254	1.643361	0.4181386	0.59737	0.40263	5.681248
72	-2399.301	-2583.813	184.5126	1.341411	1.643361	0.4181386	0.543701	0.456299	5.681248
78	-2397.206	-2579.744	182.5379	1.18592	2.199585	0.4501079	0.673308	0.326692	6.624861
84	-2390.327	-2573.715	183.3884	1.195862	1.547982	0.5878165	0.559701	0.440299	6.25739
90	-2396.404	-2579.175	182.7716	1.39813	1.479775	0.96861	0.624113	0.375887	6.25739
96	-2395.692	-2578.568	182.8765	1.401695	2.060887	0.96861	0.660884	0.339116	5.992863
102	-2406.519	-2589.358	182.8391	1.275488	1.551942	0.7723599	0.81089	0.18911	6.377253
108	-2406.628	-2591.081	184.4529	1.373944	1.432038	0.7723599	0.590893	0.409107	5.490472
114	-2405.293	-2589.772	184.4787	1.467861	1.499342	0.7723599	0.50826	0.49174	5.396845
120	-2384.06	-2569.312	185.2519	1.304538	1.499342	0.5288728	0.618289	0.381711	5.245934
126	-2388.718	-2573.871	185.1528	1.403566	1.499342	0.5288728	0.580973	0.419027	5.245934
132	-2387.024	-2570.442	183.4184	1.150847	1.679256	0.3012926	0.616643	0.383357	6.500243
138	-2392.694	-2574.064	181.3705	1.075512	1.611555	0.3012926	0.571413	0.428587	7.667558
144	-2384.749	-2567.083	182.3341	1.098128	1.621432	0.3012926	0.678729	0.321271	7.135069
150	-2391.828	-2573.943	182.1143	1.071181	1.634302	0.4154747	0.593834	0.406166	7.135069
156	-2395.794	-2577.97	182.1759	1.092822	1.634302	0.3727196	0.593834	0.406166	7.135069
162	-2391.909	-2573.862	181.9527	1.200664	1.76736	0.3727196	0.696728	0.303272	7.149424
168	-2394.199	-2576.293	182.0946	1.098005	1.61997	0.4028276	0.696728	0.303272	7.149424
174	-2388.383	-2572.06	183.6767	1.240284	1.37498	0.4028276	0.727376	0.272624	6.3154
180	-2399.435	-2580.531	181.0962	1.036436	2.087106	0.2508936	0.44942	0.55058	7.742189
186	-2396.476	-2577.942	181.4665	1.114723	2.087106	0.270944	0.365454	0.634546	7.474827
192	-2410.766	-2592.404	181.6383	1.382223	1.73467	0.4246316	0.442363	0.557637	7.178358
198	-2394.708	-2576.256	181.5484	1.392389	1.982997	0.5310317	0.345707	0.654293	7.040285
204	-2392.904	-2574.622	181.7178	1.323567	2.46313	0.3472964	0.340955	0.659045	7.026581
210	-2395.889	-2577.366	181.4776	1.150704	1.31523	0.4464316	0.709699	0.290301	7.531269
216	-2395.468	-2577.597	182.1293	1.37461	1.608022	0.5090046	0.605956	0.394044	6.885332
222	-2396.539	-2579.323	182.7846	1.240021	1.608022	0.5090046	0.771387	0.228613	6.604081
228	-2390.149	-2572.725	182.5762	1.242851	1.608022	0.503773	0.738955	0.261045	6.719872
234	-2400.366	-2583.358	182.9921	1.181293	1.273597	0.503773	0.64717	0.35283	6.665692
240	-2404.143	-2586.884	182.7415	1.247223	1.422508	0.5449057	0.64717	0.35283	6.665692
246	-2402.755	-2586.471	183.7161	1.223246	1.523301	0.3911617	0.600644	0.399356	6.254775
252	-2390.907	-2574.126	183.2191	1.305242	1.523301	0.3911617	0.45932	0.54068	6.479926
